"","Class.L3","V1"
"2116","Metabolism_Nucleotide","ECB-GENEPAGE-23183471"
"2117","Immunity_ReceptorScavenger","ECB-GENEPAGE-23126249"
"2118","Adhesion_ReceptorGPCR","ECB-GENEPAGE-23034100"
"2119","Adhesion_ReceptorGPCR","ECB-GENEPAGE-23034136"
"2120","Adhesion_ReceptorGPCR","ECB-GENEPAGE-23034153"
"2121","Adhesion_ReceptorGPCR","ECB-GENEPAGE-23034119"
"2122","Adhesion_ReceptorGPCR","ECB-GENEPAGE-23034115"
"2123","Adhesion_ReceptorGPCR","ECB-GENEPAGE-23034096"
"2124","Adhesion_ReceptorGPCR","ECB-GENEPAGE-23034092"
"2125","Adhesion_ReceptorGPCR","ECB-GENEPAGE-23034127"
"2126","Adhesion_ReceptorGPCR","ECB-GENEPAGE-23034111"
"2127","Adhesion_ReceptorGPCR","ECB-GENEPAGE-23034123"
"2128","Adhesion_ReceptorGPCR","ECB-GENEPAGE-23034088"
"2129","Adhesion_ReceptorGPCR","ECB-GENEPAGE-23034132"
"2130","Adhesion_ReceptorGPCR","ECB-GENEPAGE-23034167"
"2131","Adhesion_ReceptorGPCR","ECB-GENEPAGE-23034149"
"2132","Adhesion_ReceptorGPCR","ECB-GENEPAGE-23034144"
"2133","GTPase_SRP_NonGTPase","ECB-GENEPAGE-23080132"
"2134","Metabolism_Energy","ECB-GENEPAGE-23106796"
"2135","Metabolism_Energy","ECB-GENEPAGE-23021116"
"2136","TF_Other","ECB-GENEPAGE-23050667"
"2137","CellCycle","ECB-GENEPAGE-23050667"
"2138","Metabolism_Carbohydrate","ECB-GENEPAGE-23098109"
"2139","Signaling_Hedgehog","ECB-GENEPAGE-23130723"
"2140","Oogenesis","ECB-GENEPAGE-23146671"
"2141","Oogenesis","ECB-GENEPAGE-23146660"
"2142","Metabolism_Carbohydrate","ECB-GENEPAGE-23146651"
